id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,release_date,vote_average,overview,poster_path,budget,runtime,revenue,production_companies
4546,['David Greene'],Richard Chamberlain,Trevor Howard,Louis Jourdan,"['Adventure', 'Action', 'Drama', 'History', 'TV Movie']",The Count of Monte-Cristo,1975-01-10,6.7,"A TV adaptation of the classic Alexandre Dumas novel. Edmond Dantes is falsely accused by those jealous of his good fortune, and is sentenced to spend the rest of his life in the notorious island prison, Chateau d'If. While imprisoned, he meets the Abbe Faria, a fellow prisoner whom everyone believes to be mad. The Abbe tells Edmond of a fantastic treasure hidden away on a tiny island, that only he knows the location of. After many years in prison, the old Abbe dies, and Edmond escapes disguised as the dead body. Now free, Edmond must find the treasure the Abbe told him of, so he can use the new-found wealth to exact revenge on those who have wronged him.",/1sU6nwIgHCJo96xsXPuI7oAuq7a.jpg,0,119,0,"['Norman Rosemont Productions', 'ITC Entertainment']"
4561,['Just Jaeckin'],Corinne Cléry,Udo Kier,Alain Noury,['Drama'],The Story of O,1975-08-27,5.7,"The beautiful O is taken by her boyfriend, Rene, to a bizarre retreat, where she is trained in bondage and sexual perversion...",/25ozVaMSebid79fzJpYrmN2mbrd.jpg,0,97,0,"['Terra-Filmkunst', 'S.N. Prodis']"
1396,['Andrei Tarkovsky'],Margarita Terekhova,Ignat Daniltsev,Larisa Tarkovskaya,"['Drama', 'History']",Mirror,1975-03-07,8.0,"A dying man in his forties recalls his childhood, his mother, the war and personal moments that tell of and juxtapose pivotal moments in Soviet history with daily life.",/AttDP5OEsMxtHPPN7Z92p2Ntnmd.jpg,825370,107,119266,['Mosfilm']
11843,['Blake Edwards'],Peter Sellers,Christopher Plummer,Catherine Schell,"['Mystery', 'Comedy', 'Crime']",The Return of the Pink Panther,1975-05-21,6.8,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of 'The Phantom'.,/uQMIicFrH3r3jePOoYHwts4oaC3.jpg,5000000,113,41833347,"['United Artists', 'Jewel Productions', 'Pimlico Films', 'ITC Entertainment']"
968,['Sidney Lumet'],Al Pacino,John Cazale,Charles Durning,"['Crime', 'Drama', 'Thriller']",Dog Day Afternoon,1975-08-01,7.8,"Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.",/mavrhr0ig2aCRR8d48yaxtD5aMQ.jpg,1800000,125,46665856,"['Artists Entertainment Complex', 'Warner Bros. Pictures']"
11963,['Sydney Pollack'],Robert Redford,Faye Dunaway,Cliff Robertson,"['Thriller', 'Mystery', 'Adventure']",Three Days of the Condor,1975-09-24,7.3,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",/zinwtZqdb7gnc4zMu8dfkK1fMN3.jpg,7800000,117,41509797,"['Dino De Laurentiis Company', 'Paramount', 'Tom Ward Enterprises', 'Wildwood Enterprises']"
609139,['Gianfranco Baldanello'],Karin Well,Gianluigi Chirizzi,Lidia Costanzo,['Comedy'],Quella provincia maliziosa,1975-01-01,3.7,"A rich industrialist disapproves of the relationship between his son Fabrizio and the beautiful Antonella, who poses naked for men's magazines.",/vFaqDUsxdjmYgrqATJNtpZjHeV5.jpg,0,0,0,['Seven Stars Cinematografica']
3175,['Stanley Kubrick'],Ryan O'Neal,Marisa Berenson,Patrick Magee,"['Drama', 'Romance', 'War']",Barry Lyndon,1975-11-26,8.0,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",/3YJEv83HWWgCKezTiQ9LhdR7cFU.jpg,11000000,185,198992,"['Hawk Films', 'Peregrine', 'Warner Bros. Pictures']"
36685,['Jim Sharman'],Tim Curry,Susan Sarandon,Barry Bostwick,"['Comedy', 'Science Fiction', 'Fantasy', 'Horror']",The Rocky Horror Picture Show,1975-08-14,7.5,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rockv'.",/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,1200000,100,112892319,"['Michael White Productions', '20th Century Fox']"
1366,['John G. Avildsen'],Sylvester Stallone,Talia Shire,Burt Young,"['Drama', 'Romance']",Rocky,1976-11-21,7.8,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",/hEjK9A9BkNXejFW4tfacVAEHtkn.jpg,1000000,119,117250402,['Winkler Films']
5336,['Pier Paolo Pasolini'],Paolo Bonacelli,Giorgio Cataldi,Umberto P. Quintavalle,"['Drama', 'War', 'Horror']","Salò, or the 120 Days of Sodom",1976-01-10,6.5,"Four corrupted fascist libertines round up 9 teenage boys and girls and subject them to 120 days of sadistic physical, mental and sexual torture.",/xnaDdiRfZlJaTf6JRc4in40eaeI.jpg,0,117,22017,"['Les Productions Artistes Associés', 'PEA']"
103,['Martin Scorsese'],Robert De Niro,Jodie Foster,Albert Brooks,"['Crime', 'Drama']",Taxi Driver,1976-02-09,8.2,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1300000,114,28570902,"['Italo/Judeo Productions', 'Bill/Phillips', 'Columbia Pictures']"
63481,['Bertrand Blier'],Jean-Pierre Marielle,Jean Rochefort,Brigitte Fossey,['Comedy'],Femmes Fatales,1976-02-11,6.2,"Two men, fortyish, worn out by their wives, abandon everything to go and live in the back of beyond. There they meet a truculent priest, a boozer, Émile who recalls them to life's simple pleasures. Calm is what they want. But soon their example inspires thousands of disorientated males, fleeing the feminist 1970s. Soon, too, there arrives a squadron of nymphomaniac Amazons.",/mUxDwNuEnC4UrZhmwMxCP7Q0qIV.jpg,0,81,0,"['AMLF', 'Les Films Christian Fechner', 'Renn Productions']"
1631,['Catherine Breillat'],Charlotte Alexandra,Hiram Keller,Rita Maiden,['Drama'],A Real Young Girl,1976-01-01,5.3,"Bored and restless, Alice spends much of her time lusting after Jim, a local sawmill worker. When not lusting after him, Alice fills the hours with such pursuits as writing her name on a mirror with vaginal secretions and wandering the fields with her underwear around her ankles. And, in true teenaged tradition, she spends a lot of time writing in her diary.",/kuSYd4AGcfydRtkcVLqas0zLtql.jpg,0,89,0,"['Les Films La Boétie', 'Artédis', 'CB Films', 'CNC']"
5879,['Nagisa Ōshima'],Tatsuya Fuji,Eiko Matsuda,Aoi Nakajima,"['Drama', 'Romance']",In the Realm of the Senses,1976-09-15,6.6,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.",/AiFQbgjgSXWPfbi9iIYT39iXWMW.jpg,0,105,0,"['Argos Films', 'Oshima Productions', 'Shibata Organisation']"
