,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1330,Robert Bresson,Anne Wiazemsky,Walter Green,François Lafarge,Drama,au hasard balthazar,Anne Wiazemsky Walter Green François Lafarge Robert Bresson Drama
1331,Chuck Jones,Boris Karloff,June Foray,Thurl Ravenscroft,Animation Family Comedy,how the grinch stole christmas!,Boris Karloff June Foray Thurl Ravenscroft Chuck Jones Animation Family Comedy
1332,Arthur Penn,Marlon Brando,Jane Fonda,Robert Redford,Crime Drama Thriller,the chase,Marlon Brando Jane Fonda Robert Redford Arthur Penn Crime Drama Thriller
1333,Fred Zinnemann,Paul Scofield,Wendy Hiller,Leo McKern,Drama History,a man for all seasons,Paul Scofield Wendy Hiller Leo McKern Fred Zinnemann Drama History
1334,René Clément,Jean-Paul Belmondo,Charles Boyer,Leslie Caron,War Drama History,is paris burning?,Jean-Paul Belmondo Charles Boyer Leslie Caron René Clément War Drama History
1335,Richard Brooks,Burt Lancaster,Lee Marvin,Robert Ryan,Western Action Adventure,the professionals,Burt Lancaster Lee Marvin Robert Ryan Richard Brooks Western Action Adventure
1336,William Wyler,Audrey Hepburn,Peter O'Toole,Eli Wallach,Comedy Crime,how to steal a million,Audrey Hepburn Peter O'Toole Eli Wallach William Wyler Comedy Crime
1337,Don Chaffey,Raquel Welch,John Richardson,Percy Herbert,Adventure Fantasy,one million years b.c.,Raquel Welch John Richardson Percy Herbert Don Chaffey Adventure Fantasy
1338,Jun Fukuda,Akira Takarada,Kumi Mizuno,Chōtarō Tōgin,Science Fiction Action Fantasy,"ebirah, horror of the deep",Akira Takarada Kumi Mizuno Chōtarō Tōgin Jun Fukuda Science Fiction Action Fantasy
1339,Robert Wise,Steve McQueen,Richard Attenborough,Richard Crenna,Adventure War,the sand pebbles,Steve McQueen Richard Attenborough Richard Crenna Robert Wise Adventure War
1340,Wolfgang Reitherman,Bruce Reitherman,Phil Harris,Sebastian Cabot,Family Animation Adventure,the jungle book,Bruce Reitherman Phil Harris Sebastian Cabot Wolfgang Reitherman Family Animation Adventure
1341,Lewis Gilbert,Sean Connery,Akiko Wakabayashi,Mie Hama,Action Thriller Adventure,you only live twice,Sean Connery Akiko Wakabayashi Mie Hama Lewis Gilbert Action Thriller Adventure
1342,Stuart Rosenberg,Paul Newman,George Kennedy,Luke Askew,Crime Drama,cool hand luke,Paul Newman George Kennedy Luke Askew Stuart Rosenberg Crime Drama
1343,Arthur Penn,Warren Beatty,Faye Dunaway,Michael J. Pollard,Crime Drama,bonnie and clyde,Warren Beatty Faye Dunaway Michael J. Pollard Arthur Penn Crime Drama
