,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1021,Mervyn LeRoy,Robert Taylor,Deborah Kerr,Leo Genn,Drama History Romance,quo vadis,Robert Taylor Deborah Kerr Leo Genn Mervyn LeRoy Drama History Romance
1022,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Drama,a streetcar named desire,Vivien Leigh Marlon Brando Kim Hunter Elia Kazan Drama
1023,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Crime Thriller,strangers on a train,Farley Granger Robert Walker Ruth Roman Alfred Hitchcock Crime Thriller
1024,Miguel M. Delgado,Cantinflas,Alma Rosa Aguirre,Miguel Inclán,Comedy Western,el siete machos,Cantinflas Alma Rosa Aguirre Miguel Inclán Miguel M. Delgado Comedy Western
1025,Robert Wise,Michael Rennie,Patricia Neal,Billy Gray,Drama Science Fiction,the day the earth stood still,Michael Rennie Patricia Neal Billy Gray Robert Wise Drama Science Fiction
1026,Christian Nyby,Kenneth Tobey,Margaret Sheridan,Robert Cornthwaite,Drama Horror Science Fiction,the thing from another world,Kenneth Tobey Margaret Sheridan Robert Cornthwaite Christian Nyby Drama Horror Science Fiction
1027,Brian Desmond Hurst,Alastair Sim,Mervyn Johns,Glyn Dearman,Fantasy Drama,scrooge,Alastair Sim Mervyn Johns Glyn Dearman Brian Desmond Hurst Fantasy Drama
1028,Henry King,Gregory Peck,Susan Hayward,Kieron Moore,Drama Romance History,david and bathsheba,Gregory Peck Susan Hayward Kieron Moore Henry King Drama Romance History
1029,Henry Hathaway,Tyrone Power,Susan Hayward,Hugh Marlowe,Western,rawhide,Tyrone Power Susan Hayward Hugh Marlowe Henry Hathaway Western
1030,Charles Crichton,Alec Guinness,Stanley Holloway,Sid James,Comedy Crime,the lavender hill mob,Alec Guinness Stanley Holloway Sid James Charles Crichton Comedy Crime
1031,Vincente Minnelli,Gene Kelly,Leslie Caron,Oscar Levant,Comedy Music Romance,an american in paris,Gene Kelly Leslie Caron Oscar Levant Vincente Minnelli Comedy Music Romance
1032,William Wyler,Kirk Douglas,Eleanor Parker,William Bendix,Crime Drama,detective story,Kirk Douglas Eleanor Parker William Bendix William Wyler Crime Drama
1033,Vittorio De Sica,Emma Gramatica,Francesco Golisano,Paolo Stoppa,Comedy Drama Fantasy,miracle in milan,Emma Gramatica Francesco Golisano Paolo Stoppa Vittorio De Sica Comedy Drama Fantasy
1034,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Drama,ace in the hole,Kirk Douglas Jan Sterling Robert Arthur Billy Wilder Drama
1035,George Stevens,Montgomery Clift,Elizabeth Taylor,Shelley Winters,Drama Romance,a place in the sun,Montgomery Clift Elizabeth Taylor Shelley Winters George Stevens Drama Romance
1036,Raoul Walsh,Gregory Peck,Virginia Mayo,Robert Beatty,Adventure War History,captain horatio hornblower,Gregory Peck Virginia Mayo Robert Beatty Raoul Walsh Adventure War History
1037,Henry Hathaway,James Mason,Cedric Hardwicke,Jessica Tandy,Action Drama History War,the desert fox: the story of rommel,James Mason Cedric Hardwicke Jessica Tandy Henry Hathaway Action Drama History War
1038,Raj Kapoor,Prithviraj Kapoor,Nargis,Raj Kapoor,Drama Music Romance,awaara,Prithviraj Kapoor Nargis Raj Kapoor Raj Kapoor Drama Music Romance
1039,Akira Kurosawa,Setsuko Hara,Masayuki Mori,Toshirō Mifune,Drama Romance,the idiot,Setsuko Hara Masayuki Mori Toshirō Mifune Akira Kurosawa Drama Romance
1040,Stanley Donen,Gene Kelly,Donald O'Connor,Debbie Reynolds,Comedy Music Romance Drama,singin' in the rain,Gene Kelly Donald O'Connor Debbie Reynolds Stanley Donen Comedy Music Romance Drama
1041,John Ford,John Wayne,Maureen O'Hara,Victor McLaglen,Romance Comedy Drama,the quiet man,John Wayne Maureen O'Hara Victor McLaglen John Ford Romance Comedy Drama
1042,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Western,high noon,Gary Cooper Grace Kelly Thomas Mitchell Fred Zinnemann Western
1043,Akira Kurosawa,Takashi Shimura,Haruo Tanaka,Nobuo Kaneko,Drama,ikiru,Takashi Shimura Haruo Tanaka Nobuo Kaneko Akira Kurosawa Drama
1044,Robert Siodmak,Burt Lancaster,Nick Cravat,Eva Bartok,Adventure,the crimson pirate,Burt Lancaster Nick Cravat Eva Bartok Robert Siodmak Adventure
1045,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Adventure Romance,the african queen,Humphrey Bogart Katharine Hepburn Robert Morley John Huston Adventure Romance
