,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1497,Pier Paolo Pasolini,Ninetto Davoli,Franco Citti,Franco Merli,Comedy Drama Fantasy Romance,arabian nights,Ninetto Davoli Franco Citti Franco Merli Pier Paolo Pasolini Comedy Drama Fantasy Romance
1498,Jun Fukuda,Masaaki Daimon,Kazuya Aoyama,Reiko Tajima,Action Science Fiction,godzilla vs. mechagodzilla,Masaaki Daimon Kazuya Aoyama Reiko Tajima Jun Fukuda Action Science Fiction
1499,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Crime Drama Mystery,the conversation,Gene Hackman John Cazale Allen Garfield Francis Ford Coppola Crime Drama Mystery
1500,Nando Cicero,Edwige Fenech,Vittorio Caprioli,Alfredo Pea,Comedy,the school teacher,Edwige Fenech Vittorio Caprioli Alfredo Pea Nando Cicero Comedy
1501,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Horror Thriller Adventure,jaws,Roy Scheider Robert Shaw Richard Dreyfuss Steven Spielberg Horror Thriller Adventure
1502,Miloš Forman,Jack Nicholson,Louise Fletcher,Danny DeVito,Drama,one flew over the cuckoo's nest,Jack Nicholson Louise Fletcher Danny DeVito Miloš Forman Drama
1503,Nello Rossati,Ursula Andress,Duilio Del Prete,Mario Pisu,Comedy,the sensuous nurse,Ursula Andress Duilio Del Prete Mario Pisu Nello Rossati Comedy
1504,Isao Hayashi,Terumi Azuma,Aoi Nakajima,Naomi Tani,Crime,high school lynching,Terumi Azuma Aoi Nakajima Naomi Tani Isao Hayashi Crime
1505,Bitto Albertini,Laura Gemser,Karin Schubert,Angelo Infanti,Drama Romance Adventure,black emanuelle,Laura Gemser Karin Schubert Angelo Infanti Bitto Albertini Drama Romance Adventure
1506,Francis Giacobetti,Sylvia Kristel,Umberto Orsini,Frédéric Lagache,Drama Romance,emmanuelle: the joys of a woman,Sylvia Kristel Umberto Orsini Frédéric Lagache Francis Giacobetti Drama Romance
1507,Alain Robbe-Grillet,Jean-Louis Trintignant,Philippe Noiret,Anicée Alvina,Drama,playing with fire,Jean-Louis Trintignant Philippe Noiret Anicée Alvina Alain Robbe-Grillet Drama
1508,Gilberto Martínez Solares,Cecilia Pezet,Enrique Rocha,Delia Magaña,Horror Mystery Thriller,satanic pandemonium,Cecilia Pezet Enrique Rocha Delia Magaña Gilberto Martínez Solares Horror Mystery Thriller
